"사업대분류명","사업중분류명","사업소분류명","사업명","사업내용","이용대상내용","이용방법내용","운영시간내용","문의처내용","대상아동나이","대상관심","대상지역","자세히보기사이트주소","신청하기사이트주소"
"건강힐링","임산부 지원 강화","35세 이상 산모 검사비 지원","35세 이상 산모 검사비 지원","35세 이상 산모 검사비 등 1인당 최대 100만원까지 지원 (사회보장제도 신설 협의중으로 확정시 재안내 예정)","서울시 거주 35세 이상 산모","검사 후 관련 서류를 첨부하여 몽땅정보 만능키에서 신청","","02-120","임신?출산","임신?출산 준비,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"임신(준비)","임신준비지원"," ","서울시 남녀 임신준비 지원(건강관리 프로그램)","? 가임기 남녀 대상 엽산제 지원 및 건강검진(일반검진 및  ? 생식기능검사(남성 정액검사, 여성 난소기능검사) 지원","서울시 가임기 남녀","(민원)서울시 임신출산정보센터(사이트) 온라인 신청  및 예약일에 해당보건소 방문","연중(평일-보건소별 상이)","주소지 보건소 사업담당 부서","연령무관","임신(준비) - 임신준비지원","서울시","https://seoul-agi.seoul.go.kr/pregnancy-preparation-application","https://seoul-agi.seoul.go.kr/pregnancy-preparation-application"
"육아","가사지원"," ","한부모가족 가사지원서비스 확대","가사관리사 파견을 통한 가사서비스(연 22회/청소,세탁,설거지) 지원","서울시 거주 기준중위소득 150% 이하 한부모가족으로, 아래 조건 1가지 이상 충족 시 우선순위 적용   1) 일 또는 학업 중임               2) 자녀가 36개월 미만임   3) 본인 또는 가족구성원이 질병, 장애 등으로 가사가 어려움","서울시 가족담당관(02-2133-6562) 문의","","서울시 가족담당관(02-2133-6562)","0세 ~ 3세","육아 - 가사지원","서울시","http://seoulhanbumo.or.kr/han/contents/han-applyService.do","http://seoulhanbumo.or.kr/han/contents/han-applyService.do"
"출산","생활지원"," ","서울형 장애인 부가급여 지원","(서울형 장애인연금 부가급여 : 장애인연금 대상자 중 기초생 활수급자 및 차상위계층, 서울형 장애아동수당 : 장애아동수당 대상자 중 보장시설거주 중증장애아동이면서 기초생활수급자/월4만원 현금)","","","","관할 주민센터, 서울특별시","연령무관","출산 - 생활지원","서울시",".","."
"육아","교육지원"," ","다문화가족 지원센터 이용 취약계층 지원","(한국인과 결혼이민지로 이루어진 가족, 한국인과 귀화자로 이루어진 가족/다문화가족지원 상담, 교육,교류공간 등 지원/각 지역의 가족센터 및 다문화가족지원센터 방문/1577-9357)","","","","한국건강가정진흥원","연령무관","육아 - 교육지원","서울시",".","."
"건강힐링","임산부 지원 강화","출산맘 몸?마음 토탈케어","행복맘 지원 건강 플랫폼 운영","스마트워치와 전용 앱을 통한 건강관리 서비스 제공","2022년 1월 1일 이후 출산 경험이 있는 서울시민","별도 사업 신청 시기(23년 8월 28일부터)에 홈페이지를 통한 온라인 신청(선착순) 후 스마트워치와 전용 앱을 연결하여 서비스 이용","","손목닥터 9988 고객센터 (1811-9988)","임신?출산","건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://onhealth.seoul.go.kr/","https://onhealth.seoul.go.kr/"
"양육","돌봄인프라"," ","육아 지원 코디네이터 운영","양육자 및 예비 양육자 대상 맞춤형 육아정보 제공 및 육아자원 발굴?연계, 육아상담 등 지원","만5세 이하 영유아 양육가정 및 출산예정 가정","본 사업은 2023년에 종료되었으며, 2024년에 개편될 예정입니다.","","다산콜센터(120번→3번),  자치구 육아종합지원센터","0세 ~ 5세","양육 - 돌봄인프라","서울시",".","."
"안심돌봄","공보육?초등돌봄 시설 확충","초등돌봄 공적 인프라 확충","초등돌봄교실","돌봄, 교육 및 일부 급?간식비 지원","초등학교 1학년 ~ 6학년","학부모 수요 및 학교 여건에 따라 돌봄이 꼭 필요한 학생을 대상으로 학생 선정","아침돌봄(수업 전), 오후돌봄, 방과후학교연계형 돌봄교실(13:00~17:00), 저녁돌봄(17:00~), 방학 중 오전돌봄(09:00~13:00)","","6~9세,10세 이상","보육?돌봄","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://icare.seoul.go.kr/icare/dolbomMENU1/dolbomMENU1_5/dolbomMENU1_5_1.jsp","."
"육아","돌봄지원"," ","청소년 부모 양육비 지원 확대","자녀 1명당 아동양육비 월 20만원 추가 지원","기준 중위소득 90% 이하 청소년 부모 가구의 자녀 기준 중위소득 90% 이하 청소년 한부모 가정","거주 중인 자치구 동주민센터 신청","","서울시 가족담당관(02-2133-6563)","연령무관","육아 - 돌봄지원","서울시","https://news.seoul.go.kr/welfare/archives/549187","."
"육아","교육지원"," ","청소년부모 청년취업사관학교 교육과정 우선선발","청년취업사관학교에서 교육 받기를 희망하는 청소년부모(자녀를 둔 24세 이하 청소년 부부) 우선선발","기초소양을 갖추고 취업의지가 있는 청소년부모","서울시 가족담당관(02-2133-6563) 문의","","서울시 가족담당관(02-2133-6563)","연령무관","육아 - 교육지원","서울시",".","."
"육아","돌봄지원"," ","서울형어린이집","공인평가를 통하여 우수한 민간 어린이집을 선정하고 인건비 및 운영비를 지원함으로써 향상된 보육서비스를 안정적으로 제공","어린이집 입소 신청 및 등록","보육포털서비스 사이트를 통해 신청 후 서비스 이용","어린이집 보육시간 내","서울시 영유아담당관(02-2133-5113)","연령무관","육아 - 돌봄지원","서울시","https://iseoul.seoul.go.kr/portal/guide/noticeList.do?gubun=3","."
"육아","생활지원"," ","한부모가족 자녀 교통비/교육비 지원 확대","저소득 한부모가족 자녀에 대한 교통비?교육비 지원","- 교육비: 기준 중위소득 63% 이하 한부모가족의 중?고등학생 자녀  - 교통비: 기준 중위소득 63% 이하 한부모가족의 중?고등학생 자녀","서울시 가족담당관(02-2133-6563) 문의","","서울시 가족담당관(02-2133-6563)","연령무관","육아 - 생활지원","서울시",".","."
"임신준비","건강지원"," ","서울시 난임?임산부심리상담센터 운영","난임부부, 유산?사산 경험부부, 임산부 및 양육모의 정서적 안정을 위해 전담 상담사가 등록부터 종결까지 1:1 상담 및 다양한 프로그램을 운영","난임부부, 유산?사산 경험부부, 임산부 및 양육모","센터 방문전 전화로 문의 및 상담 예약 필수  (1:1 상담으로 상담시간이 길어 질 수 있음)  서울권역 난임?임산부심리상담센터 (<a	href='https://www.mindcare-for-family.kr/'  target='_blank'>   https://www.mindcare-for-family.kr/) </a> 서울 서남권역 난임?임산부심리상담센터( <a	href=' https://fmc.or.kr/'    target='_blank'>    https://fmc.or.kr/)  </a>","평일 ( 09:00~17:00 )","서울권역 : 강남센터(강남세브란스병원 2동 3층) : 02-2019-4581 송파센터(가든파이브 영관 8층) : 02-6956-6248 서울 서남권역 : 보라매센터(전문건설회관 28층): 02-870-3617 금천구지역센터(뉴연세여성의원 10층):02-895-1002","연령무관","임신준비 - 건강지원","서울시","https://www.mindcare-for-family.kr/","."
"탄생응원","난임 부부지원 확대","다태아 자녀안심 보험 지원","다태아 자녀안심 보험 지원","- 보험가입 : ’24. 1. 1. 부터 출생한 서울시 거주 다태아 자동가입     ※ 타시도에서 출생한 다태아 서울시 전입시 자동가입, 서울시 거주 다태아 출생아 타시도 전출시 자동해지 - 보장기간 : 출생일로부터 2년  - 주요보장 : 응급실 내원비, 특정 전염병 진단비, 골절?화상 수술비, 상해 또는 질병치료 입원비, 암진단비 등 17개 항목 최대 3,000만원 지급  <img	src='/contents/commoneditor/202312222036518e6dbc53-71bf-4323-b081-597db41dc2c5.png'	alt='다태아 안심보험의 주요 보장 내용'>     ※ 정확한 세부 보장내용 계약보험사(메리츠화재보험) 약관 확인 필요","'24. 1. 1. 부터 출생한 서울시 거주(주민등록) 다태아","- 접수창구 : 메리츠화재보험 웹사이트(<a	href='http://mbi.seoul.insboon.com'	target='_blank'>mbi.seoul.insboon.com</a>) 등 - 구비서류 : 보험금 청구서, 주민등록등본, 출생증명서, 진료비영수증, 통장사본 등","","메리츠화재보험 고객센터(☎ 1522-6545) - 서울시 저출생정책추진반(2133-5328), 서울시여성가족재단(810-5446)","임신?출산,0~2세","보육?돌봄,수당?급여,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","http://mbi.seoul.insboon.com"
"일생활균형","경력보유여성 취업지원","경력보유여성 취업 3종세트","우먼업 구직활동지원금","3040 경력보유여성을 발굴, 월 30만원(3개월)지원하여 구직활동 장려","서울시 경력단절여성","공고문에 따른 접수","","1660-3040","임신?출산,0~2세,3~5세,6~9세,10세 이상","일생활균형","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://www.seoulwomanup.or.kr","https://www.seoulwomanup.or.kr"
"육아","일자리지원"," ","서울형 강소기업 지원(사업종료)","① 청년 정규직 채용 시, 사내복지 개선 등 근무환경개선금지원(최대 3명) ② 육아친화 및 일?생활 균형 조직문화 조성을 위한 교육?컨설팅 지원 ③ 마음챙김, 스트레스 관리로 신입사원 번아웃 예방을 위한 청년성장 프로그램 제공","서울 소재 중소기업 중 공공기관 인증을 받은 기업 대상으로 청년일자리 창출 확대 및 일 생활 균형 조직문화, 고용안정성, 복지혜택이 우수한 기업","모집공고 → 신청 → 서류심사 → 현장실사 → 면접심사 → 최종선정","","서울특별시 일자리정책과","연령무관","육아 - 일자리지원","서울시","http://www.seouljobnow.co.kr/","http://www.seouljobnow.co.kr/"
"탄생응원","청년, 신혼 부부 지원","청년, 건강한 밥상","청년, 건강한 밥상","청년 1인가구 대상 도구 사용법, 재료 고르는 법 등 기초 중심의 집밥 만드는 방법(체험)과 건강 프로그램 운영 등 5개 자치구 선정, 자치구당 최대 15백만원 지원","청년(19~39세) 1인가구 600명","자치구 1인가구지원센터를 통해 신청","","자치구 1인가구지원센터","임신?출산","임신?출산 준비","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://news.seoul.go.kr/welfare/archives/551304","."
"육아","생활지원"," ","에너지복지요금 취약계층 지원","(취약계층/ 10,000원/월 ~ 4,000원/월(지원자격에 따라 상이))","","","","한국지역난방공사","연령무관","육아 - 생활지원","서울시",".","."
"육아","돌봄지원"," ","지역아동센터 취약계층 지원","(방과후 돌봄이 필요한 아동에게 서비스를 지원하는 지역아동센터, 아동복지교사를 대상/지역아동센터를 통한 돌봄서비스 제공)","","","","지역아동센터","연령무관","육아 - 돌봄지원","서울시",".","."
"탄생응원","탄생축하문화 확산","생명탄생 축하사진 공모","생명탄생 축하사진 공모","ㅇ 부부가 만나서 가족을 이루고 아이를 낳고 키우는 과정에서 다양한 감동적인 사연을 소개함으로써 결혼?출산?양육에 대한 인식개선 추진  ㅇ 선정된 사연을 바탕으로 이미지와 영상을 전광판 표출 및 SNS공유하여 탄생 문화를 응원하는 사회 분위기 확산","서울 시민 및 생활권자 누구나","※2023년으로 종료된 사업입니다.","","","임신?출산","보육?돌봄,외출,문화","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://blog.naver.com/seoulfamilyc/223112342560","."
"(예비)신혼부부","결혼지원"," ","정보시스템  유지관리(사업종료)","별적으로 제공되고 있는 출산 및 육아 정보를 한곳에 통합하여, 사용자 맞춤형 정보를 제공하고, 온라인 신청 기능도 갖춘 종합 플랫폼「탄생에서 육아까지 몽땅정보 만능키」운영 및 시스템 고도화","시민","로그인 접속","","-","연령무관","(예비)신혼부부 - 결혼지원","서울시",".","."
